"","factorName","coefficents"
"(Intercept)","(Intercept)",-6.54737571954287
"Person.ID.1362","Person.ID.1362",-0.687836410433145
"Person.ID.1407","Person.ID.1407",1.05428880939753
"Person.ID.1417","Person.ID.1417",17.5099323275897
"Person.ID.1537","Person.ID.1537",-2.07612122975309
"Person.ID.1547","Person.ID.1547",-0.39518458590483
"Person.ID.1557","Person.ID.1557",-0.52613528416259
"Person.ID.1577","Person.ID.1577",17.5461302381691
"Person.ID.1592","Person.ID.1592",0.866926911299207
"Person.ID.1612","Person.ID.1612",-1.39163034455814
"Person.ID.1647","Person.ID.1647",-3.44043047187853
"Person.ID.1712","Person.ID.1712",-2.79912994624846
"Person.ID.1752","Person.ID.1752",-0.956921942421907
"Person.ID.1837","Person.ID.1837",16.9046326781829
"Person.ID.1907","Person.ID.1907",-0.44020320975388
"Person.ID.1917","Person.ID.1917",-1.60802345450156
"Person.ID.11012","Person.ID.11012",-3.15563530955676
"Person.ID.11117","Person.ID.11117",-0.549747388316544
"Person.ID.11162","Person.ID.11162",2.72075204881326
"Person.ID.11192","Person.ID.11192",-0.0121442343175469
"Person.ID.11217","Person.ID.11217",-2.34216454555784
"Person.ID.11222","Person.ID.11222",18.3921101103052
"Person.ID.11277","Person.ID.11277",-0.601846915331321
"Person.ID.11302","Person.ID.11302",16.4142189324201
"Person.ID.11382","Person.ID.11382",-3.49843238257037
"Person.ID.11387","Person.ID.11387",-2.03788505032561
"Person.ID.11407","Person.ID.11407",0.221459109095558
"Person.ID.11547","Person.ID.11547",-19.4887396115893
"Person.ID.11582","Person.ID.11582",-19.8286226608896
"Person.ID.11617","Person.ID.11617",17.9737611294196
"Person.ID.11642","Person.ID.11642",-17.081881797091
"Person.ID.11687","Person.ID.11687",17.1113368146833
"Person.ID.11737","Person.ID.11737",-1.99055961257001
"Person.ID.11752","Person.ID.11752",-0.937058254339925
"Person.ID.11757","Person.ID.11757",-0.277332061706135
"Person.ID.11797","Person.ID.11797",0.457353482172482
"Person.ID.11812","Person.ID.11812",-2.28844016545712
"Person.ID.11862","Person.ID.11862",17.0618383209707
"Person.ID.11937","Person.ID.11937",-1.76806127831872
"Person.ID.11952","Person.ID.11952",16.8028020951915
"Person.ID.11982","Person.ID.11982",17.3110445350385
"Person.ID.12002","Person.ID.12002",-0.607686461453941
"Person.ID.12022","Person.ID.12022",-0.565514482202023
"Person.ID.12052","Person.ID.12052",-0.0157719269969592
"Person.ID.12087","Person.ID.12087",16.7098023517273
"Person.ID.12107","Person.ID.12107",-1.92194263484734
"Person.ID.12232","Person.ID.12232",-18.4401641769908
"Person.ID.12252","Person.ID.12252",-1.26448817007426
"Person.ID.12262","Person.ID.12262",-0.176891037620978
"Person.ID.12427","Person.ID.12427",-19.1431703089981
"Person.ID.12477","Person.ID.12477",-1.11077842080428
"Person.ID.12577","Person.ID.12577",-18.058159419969
"Person.ID.12697","Person.ID.12697",-0.199240329389004
"Person.ID.12712","Person.ID.12712",-0.0503929687721833
"Person.ID.12907","Person.ID.12907",-18.8181037114908
"Person.ID.12982","Person.ID.12982",0.262197620547136
"Person.ID.13062","Person.ID.13062",-0.770312767488104
"Person.ID.13067","Person.ID.13067",17.615099165526
"Person.ID.13167","Person.ID.13167",-0.307741118394086
"Person.ID.13182","Person.ID.13182",-1.48719425854099
"Person.ID.13207","Person.ID.13207",-3.11202048928608
"Person.ID.13292","Person.ID.13292",-18.3289483283496
"Person.ID.13327","Person.ID.13327",-2.41265583833612
"Person.ID.13362","Person.ID.13362",-1.92624774650322
"Person.ID.13597","Person.ID.13597",-18.5515262194585
"Person.ID.13692","Person.ID.13692",-0.47431749360205
"Person.ID.13762","Person.ID.13762",-0.345059043195918
"Person.ID.13812","Person.ID.13812",-2.00958577082403
"Person.ID.14082","Person.ID.14082",-1.965641179475
"Person.ID.14102","Person.ID.14102",-18.1521698332646
"Person.ID.14167","Person.ID.14167",-1.11952501421747
"Person.ID.14222","Person.ID.14222",0.125591114543456
"Person.ID.14302","Person.ID.14302",-0.827024810367852
"Person.ID.14492","Person.ID.14492",17.0655993343886
"Person.ID.14502","Person.ID.14502",0.596918077466741
"Person.ID.14702","Person.ID.14702",-0.299137845458379
"Person.ID.14762","Person.ID.14762",16.3637840387327
"Person.ID.14797","Person.ID.14797",-0.812079618746925
"Person.ID.14877","Person.ID.14877",-1.50027100693197
"Person.ID.14882","Person.ID.14882",-1.06053139901215
"Person.ID.14902","Person.ID.14902",16.3394314531902
"Person.ID.15042","Person.ID.15042",-19.904527896897
"Person.ID.15107","Person.ID.15107",-1.55638744568268
"Person.ID.15117","Person.ID.15117",-1.2176572633313
"Person.ID.15142","Person.ID.15142",-1.27840788391705
"Person.ID.15222","Person.ID.15222",-1.77194203682994
"Person.ID.15232","Person.ID.15232",-1.56244615455514
"Person.ID.15242","Person.ID.15242",-0.511231134206029
"Person.ID.15287","Person.ID.15287",-2.0970548950241
"Person.ID.15382","Person.ID.15382",-0.0530299239904185
"Person.ID.15702","Person.ID.15702",0.363938407087677
"Person.ID.15737","Person.ID.15737",-1.82780799652339
"Person.ID.15812","Person.ID.15812",17.2672965830606
"Person.ID.15852","Person.ID.15852",-1.82860544585382
"Person.ID.15882","Person.ID.15882",-1.95970684520345
"Person.ID.15927","Person.ID.15927",-0.991199314923846
"Person.ID.15967","Person.ID.15967",-0.891167580278709
"Person.ID.16012","Person.ID.16012",-19.6449061535882
"Person.ID.16077","Person.ID.16077",-2.09199333678427
"Person.ID.16117","Person.ID.16117",17.4594104489856
"Person.ID.16282","Person.ID.16282",15.513472199167
"Person.ID.16292","Person.ID.16292",-1.19805492083524
"Person.ID.16332","Person.ID.16332",16.3054967155378
"Person.ID.16377","Person.ID.16377",-2.22221354150869
"Person.ID.16397","Person.ID.16397",-2.23555344810351
"Person.ID.16502","Person.ID.16502",-18.0196020387985
"Person.ID.16562","Person.ID.16562",-1.33383096387158
"Person.ID.16712","Person.ID.16712",-1.65567526450974
"Person.ID.16742","Person.ID.16742",-0.758558922140909
"Person.ID.16747","Person.ID.16747",-18.6817861964228
"Person.ID.16807","Person.ID.16807",-2.03871662236778
"Person.ID.17037","Person.ID.17037",-18.2398313330871
"Person.ID.17047","Person.ID.17047",1.07233195724092
"Person.ID.17087","Person.ID.17087",-18.8058527347752
"Person.ID.17252","Person.ID.17252",-18.2280368611816
"Person.ID.17302","Person.ID.17302",-19.5460418511665
"Person.ID.17342","Person.ID.17342",-3.31857558989345
"Person.ID.17347","Person.ID.17347",16.5550265662279
"Person.ID.17362","Person.ID.17362",-1.77067264185806
"Person.ID.17387","Person.ID.17387",-18.9149550328354
"Person.ID.17452","Person.ID.17452",0.551488433239118
"Person.ID.17512","Person.ID.17512",-1.86361439767409
"Person.ID.17527","Person.ID.17527",-17.9651327780208
"Person.ID.17587","Person.ID.17587",-1.57863565965629
"Person.ID.17597","Person.ID.17597",-1.55705685756374
"Person.ID.17607","Person.ID.17607",17.6883687231287
"Person.ID.17662","Person.ID.17662",-1.60158853110997
"Person.ID.17747","Person.ID.17747",-17.7659164843486
"Person.ID.17862","Person.ID.17862",-0.778438336451107
"Person.ID.17947","Person.ID.17947",-1.14751128924754
"Person.ID.17952","Person.ID.17952",-0.515103758091511
"Person.ID.17992","Person.ID.17992",-1.36588475712433
"Person.ID.18002","Person.ID.18002",17.0377401207039
"Person.ID.18012","Person.ID.18012",-0.965735529119952
"Person.ID.18047","Person.ID.18047",0.248142173329358
"Person.ID.18067","Person.ID.18067",17.5144569989899
"Person.ID.18142","Person.ID.18142",-19.6220693684651
"Person.ID.18152","Person.ID.18152",-18.692756327406
"Person.ID.18317","Person.ID.18317",-0.86779534745918
"Person.ID.18377","Person.ID.18377",-3.42095378587941
"Person.ID.18462","Person.ID.18462",-0.957698587209566
"Person.ID.18542","Person.ID.18542",-0.355443473153106
"Person.ID.18667","Person.ID.18667",-1.84988243741574
"Person.ID.18732","Person.ID.18732",-0.191973097373638
"Person.ID.18772","Person.ID.18772",-1.97274676055026
"Person.ID.18867","Person.ID.18867",-1.06220873751508
"Person.ID.19042","Person.ID.19042",-0.12417263535089
"Person.ID.19067","Person.ID.19067",-1.14555213961227
"Person.ID.19107","Person.ID.19107",-0.142631972588003
"Person.ID.19227","Person.ID.19227",-1.18885278161058
"Person.ID.19312","Person.ID.19312",-1.67311716537552
"Person.ID.19342","Person.ID.19342",-2.5524547898008
"Person.ID.19412","Person.ID.19412",-18.9844385537394
"Person.ID.19417","Person.ID.19417",-2.02609577584021
"Person.ID.19497","Person.ID.19497",-0.491214246366374
"Person.ID.19502","Person.ID.19502",-0.152375929969095
"Person.ID.19527","Person.ID.19527",19.1549319059751
"Person.ID.19602","Person.ID.19602",17.0514340052566
"Person.ID.19657","Person.ID.19657",-2.42626673918333
"Person.ID.19672","Person.ID.19672",-1.66772771948249
"Person.ID.19712","Person.ID.19712",0.00537608187056423
