"","Person.ID.1","Role.1","Year.of.Birth.1","Country.of.Birth.1","Home.Language.1","Dept.No..1","Faculty.No..1","With.PHD.1","No..of.Years.in.Uni.at.Time.of.Grant.1","Number.of.Successful.Grant.1","Number.of.Unsuccessful.Grant.1","A..1","A.1","B.1","C.1","data$Grant.Status","index","age"
"1","40572","CHIEF_INVESTIGATOR",1965,"Asia Pacific","Other","3073","31","No","Less than 0",0,0,4,2,0,0,1,1,42
"2","9067","CHIEF_INVESTIGATOR",1960,"Australia","","2538","25","Yes ","more than 15",0,0,6,12,2,2,1,2,47
"3","5967","CHIEF_INVESTIGATOR",1955,"Australia","","2923","25","Yes ",">5 to 10",0,0,0,3,5,2,1,3,52
"4","78782","PRINCIPAL_SUPERVISOR",1955,"Australia","","2678","25","Yes ",">5 to 10",0,0,0,3,13,3,1,4,52
"5","13042","CHIEF_INVESTIGATOR",1965,"Western Europe","","2153","19","Yes ",">5 to 10",0,0,3,0,1,0,0,5,42
"6","301472","CHIEF_INVESTIGATOR",1950,"Australia","","2533","25","Yes ",">=0 to 5",2,0,7,27,27,6,1,6,57
"7","74292","CHIEF_INVESTIGATOR",1960,"Australia","","3028","31","Yes ",">10 to 15",0,0,8,5,2,0,0,7,47
"8","1642","CHIEF_INVESTIGATOR",1965,"Australia","","2563","25","No","",0,3,0,0,0,0,0,8,42
"9","1012","CHIEF_INVESTIGATOR",1945,"Australia","English","3123","31","Yes ",">5 to 10",0,0,8,1,11,0,1,9,62
"10","89462","CHIEF_INVESTIGATOR",1930,"","",NA,NA,"No","",0,0,1,0,0,0,1,10,77
"11","67272","CHIEF_INVESTIGATOR",1965,"Australia","","3098","31","Yes ",">=0 to 5",0,0,2,4,0,0,1,11,42
"12","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,0,12,47
"13","73882","CHIEF_INVESTIGATOR",1960,"Great Britain","","2713","25","No","Less than 0",1,1,4,3,2,1,1,13,47
"14","38457","CHIEF_INVESTIGATOR",1970,"Australia","","2153","19","No","Less than 0",0,0,3,4,2,0,0,14,37
"15","9067","CHIEF_INVESTIGATOR",1960,"Australia","","2538","25","Yes ","more than 15",3,3,6,12,2,2,1,15,47
"16","69482","CHIEF_INVESTIGATOR",1965,"Australia","","2883","25","Yes ",">=0 to 5",0,1,0,0,2,2,0,16,42
"17","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,0,17,47
"18","26882","CHIEF_INVESTIGATOR",1950,"Australia","","2523","25","Yes ",">=0 to 5",1,0,0,2,1,2,1,18,57
"19","69517","PRINCIPAL_SUPERVISOR",1950,"Australia","English","1258","34","Yes ","more than 15",0,0,6,4,6,32,1,19,57
"20","592577","CHIEF_INVESTIGATOR",1975,"","","2558","25","No","",0,1,0,0,0,0,0,20,32
"21","15282","CHIEF_INVESTIGATOR",1965,"Australia","English","2713","25","Yes ",">5 to 10",1,1,1,1,2,0,1,21,42
"22","25947","CHIEF_INVESTIGATOR",1960,"Australia","","1038","1","No","",1,1,0,0,0,0,0,22,47
"23","9067","CHIEF_INVESTIGATOR",1960,"Australia","","2538","25","Yes ","more than 15",3,3,6,12,2,2,0,23,47
"24","4902","CHIEF_INVESTIGATOR",1950,"Australia","","2053","19","Yes ",">5 to 10",1,0,1,3,4,1,1,24,57
"25","78947","CHIEF_INVESTIGATOR",1960,"Australia","","2553","25","No","Less than 0",1,1,0,3,3,1,1,25,47
"26","36527","CHIEF_INVESTIGATOR",1955,"Australia","","2653","25","No",">=0 to 5",1,4,0,0,0,0,0,26,52
"27","16137","CHIEF_INVESTIGATOR",1950,"Australia","","2653","25","No",">5 to 10",1,5,4,3,1,0,0,27,57
"28","20927","CHIEF_INVESTIGATOR",1965,"Australia","","2578","25","Yes ",">5 to 10",0,1,0,2,2,0,0,28,42
"29","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,0,29,47
"30","3067","CHIEF_INVESTIGATOR",1950,"","",NA,NA,"No","",0,0,3,3,1,0,1,30,57
"31","39817","CHIEF_INVESTIGATOR",1955,"Australia","","653","7","No",">=0 to 5",0,1,0,0,0,0,0,31,52
"32","69032","DELEGATED_RESEARCHER",1965,"Australia","English","2538","25","Yes ",">=0 to 5",1,2,4,2,3,1,0,32,42
"33","69262","CHIEF_INVESTIGATOR",1960,"Australia","","2653","25","Yes ",">10 to 15",1,0,7,5,7,7,1,33,47
"34","4247","CHIEF_INVESTIGATOR",1950,"Australia","","2298","46","No","Less than 0",0,1,0,0,0,0,0,34,57
